"filename", "language", "JavaScript", "CSS", "XML", "JSON", "PHP", "JavaScript JSX", "JSON with Comments", "Markdown", "comment", "blank", "total"
"d:\WatchWithMe\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 45, 0, 22, 67
"d:\WatchWithMe\app\Console\Kernel.php", "PHP", 0, 0, 0, 0, 15, 0, 0, 0, 7, 6, 28
"d:\WatchWithMe\app\Events\SendMessage.php", "PHP", 0, 0, 0, 0, 30, 0, 0, 0, 19, 6, 55
"d:\WatchWithMe\app\Exceptions\Handler.php", "PHP", 0, 0, 0, 0, 35, 0, 0, 0, 10, 9, 54
"d:\WatchWithMe\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 0, 0, 0, 34, 0, 0, 0, 9, 11, 54
"d:\WatchWithMe\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 0, 0, 0, 0, 30, 0, 0, 0, 6, 7, 43
"d:\WatchWithMe\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 3, 6, 26
"d:\WatchWithMe\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 3, 4, 24
"d:\WatchWithMe\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 0, 0, 0, 47, 0, 0, 0, 14, 9, 70
"d:\WatchWithMe\app\Http\Controllers\Auth\PasswordController.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 3, 6, 30
"d:\WatchWithMe\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 0, 0, 0, 33, 0, 0, 0, 11, 8, 52
"d:\WatchWithMe\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 8, 9, 53
"d:\WatchWithMe\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 3, 6, 29
"d:\WatchWithMe\app\Http\Controllers\Controller.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\WatchWithMe\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\WatchWithMe\app\Http\Controllers\ProfileController.php", "PHP", 0, 0, 0, 0, 41, 0, 0, 0, 9, 14, 64
"d:\WatchWithMe\app\Http\Controllers\RoomController.php", "PHP", 0, 0, 0, 0, 65, 0, 0, 0, 1, 10, 76
"d:\WatchWithMe\app\Http\Kernel.php", "PHP", 0, 0, 0, 0, 44, 0, 0, 0, 21, 7, 72
"d:\WatchWithMe\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 3, 4, 18
"d:\WatchWithMe\app\Http\Middleware\ControllByAdmin.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 6, 4, 27
"d:\WatchWithMe\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 6, 4, 18
"d:\WatchWithMe\app\Http\Middleware\HandleInertiaRequests.php", "PHP", 0, 0, 0, 0, 26, 0, 0, 0, 13, 6, 45
"d:\WatchWithMe\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 6, 4, 18
"d:\WatchWithMe\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 5, 6, 31
"d:\WatchWithMe\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 5, 4, 20
"d:\WatchWithMe\app\Http\Middleware\TrustHosts.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 5, 4, 21
"d:\WatchWithMe\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 0, 0, 14, 0, 0, 0, 10, 5, 29
"d:\WatchWithMe\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 11, 4, 23
"d:\WatchWithMe\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 6, 4, 18
"d:\WatchWithMe\app\Http\Requests\Auth\LoginRequest.php", "PHP", 0, 0, 0, 0, 51, 0, 0, 0, 21, 14, 86
"d:\WatchWithMe\app\Http\Requests\ProfileUpdateRequest.php", "PHP", 0, 0, 0, 0, 15, 0, 0, 0, 5, 4, 24
"d:\WatchWithMe\app\Models\Rooms.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\WatchWithMe\app\Models\User.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 16, 7, 46
"d:\WatchWithMe\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 8, 5, 25
"d:\WatchWithMe\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 11, 5, 27
"d:\WatchWithMe\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 3, 5, 20
"d:\WatchWithMe\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 12, 6, 39
"d:\WatchWithMe\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 10, 6, 41
"d:\WatchWithMe\bootstrap\app.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 30, 9, 56
"d:\WatchWithMe\composer.json", "JSON", 0, 0, 0, 74, 0, 0, 0, 0, 0, 1, 75
"d:\WatchWithMe\composer.lock", "JSON", 0, 0, 0, 8367, 0, 0, 0, 0, 0, 1, 8368
"d:\WatchWithMe\config\app.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 131, 31, 189
"d:\WatchWithMe\config\auth.php", "PHP", 0, 0, 0, 0, 28, 0, 0, 0, 74, 14, 116
"d:\WatchWithMe\config\broadcasting.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 23, 13, 72
"d:\WatchWithMe\config\cache.php", "PHP", 0, 0, 0, 0, 59, 0, 0, 0, 34, 19, 112
"d:\WatchWithMe\config\cors.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 29, 3, 35
"d:\WatchWithMe\config\database.php", "PHP", 0, 0, 0, 0, 83, 0, 0, 0, 48, 22, 153
"d:\WatchWithMe\config\filesystems.php", "PHP", 0, 0, 0, 0, 32, 0, 0, 0, 32, 13, 77
"d:\WatchWithMe\config\hashing.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 32, 9, 53
"d:\WatchWithMe\config\logging.php", "PHP", 0, 0, 0, 0, 79, 0, 0, 0, 34, 19, 132
"d:\WatchWithMe\config\mail.php", "PHP", 0, 0, 0, 0, 54, 0, 0, 0, 53, 19, 126
"d:\WatchWithMe\config\queue.php", "PHP", 0, 0, 0, 0, 51, 0, 0, 0, 42, 17, 110
"d:\WatchWithMe\config\sanctum.php", "PHP", 0, 0, 0, 0, 15, 0, 0, 0, 41, 12, 68
"d:\WatchWithMe\config\services.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 11, 7, 35
"d:\WatchWithMe\config\session.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 147, 33, 202
"d:\WatchWithMe\config\view.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 20, 7, 37
"d:\WatchWithMe\database\factories\UserFactory.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 11, 5, 40
"d:\WatchWithMe\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 0, 0, 26, 0, 0, 0, 6, 4, 36
"d:\WatchWithMe\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 6, 4, 29
"d:\WatchWithMe\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 6, 4, 33
"d:\WatchWithMe\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 6, 4, 34
"d:\WatchWithMe\database\migrations\2023_09_18_115214_create_rooms_table.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 6, 4, 34
"d:\WatchWithMe\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 9, 5, 23
"d:\WatchWithMe\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 10
"d:\WatchWithMe\package-lock.json", "JSON", 0, 0, 0, 5590, 0, 0, 0, 0, 0, 1, 5591
"d:\WatchWithMe\package.json", "JSON", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\WatchWithMe\phpunit.xml", "XML", 0, 0, 29, 0, 0, 0, 0, 0, 2, 1, 32
"d:\WatchWithMe\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\WatchWithMe\public\index.php", "PHP", 0, 0, 0, 0, 14, 0, 0, 0, 30, 12, 56
"d:\WatchWithMe\resources\css\app.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\WatchWithMe\resources\js\Components\ApplicationLogo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\WatchWithMe\resources\js\Components\Checkbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\WatchWithMe\resources\js\Components\DangerButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\WatchWithMe\resources\js\Components\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 17, 92
"d:\WatchWithMe\resources\js\Components\InputError.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\WatchWithMe\resources\js\Components\InputLabel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\WatchWithMe\resources\js\Components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 5, 58
"d:\WatchWithMe\resources\js\Components\NavLink.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"d:\WatchWithMe\resources\js\Components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 0, 0, 13, 145
"d:\WatchWithMe\resources\js\Components\PrimaryButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\WatchWithMe\resources\js\Components\PubNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 136, 0, 0, 6, 5, 147
"d:\WatchWithMe\resources\js\Components\ResponsiveNavLink.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"d:\WatchWithMe\resources\js\Components\SecondaryButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\WatchWithMe\resources\js\Components\TextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\WatchWithMe\resources\js\Layouts\AuthenticatedLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"d:\WatchWithMe\resources\js\Layouts\GuestLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 6, 4, 27
"d:\WatchWithMe\resources\js\Layouts\MainContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\WatchWithMe\resources\js\Pages\Auth\ConfirmPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 11, 60
"d:\WatchWithMe\resources\js\Pages\Auth\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 10, 51
"d:\WatchWithMe\resources\js\Pages\Auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 16, 98
"d:\WatchWithMe\resources\js\Pages\Auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 0, 20, 118
"d:\WatchWithMe\resources\js\Pages\Auth\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 16, 91
"d:\WatchWithMe\resources\js\Pages\Auth\VerifyEmail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 9, 46
"d:\WatchWithMe\resources\js\Pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 5, 74
"d:\WatchWithMe\resources\js\Pages\Errors\401.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\WatchWithMe\resources\js\Pages\Errors\403.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\WatchWithMe\resources\js\Pages\Errors\404.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\WatchWithMe\resources\js\Pages\Errors\419.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\WatchWithMe\resources\js\Pages\Errors\500.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 1, 3, 16
"d:\WatchWithMe\resources\js\Pages\MainPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"d:\WatchWithMe\resources\js\Pages\Profile\Edit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 1, 5, 37
"d:\WatchWithMe\resources\js\Pages\Profile\Partials\DeleteUserForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 82, 0, 0, 0, 18, 100
"d:\WatchWithMe\resources\js\Pages\Profile\Partials\UpdatePasswordForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 19, 114
"d:\WatchWithMe\resources\js\Pages\Profile\Partials\UpdateProfileInformationForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 1, 18, 106
"d:\WatchWithMe\resources\js\Pages\Room\Create.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 203, 0, 0, 6, 10, 219
"d:\WatchWithMe\resources\js\Pages\Room\ShowParty.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 2, 2, 16
"d:\WatchWithMe\resources\js\app.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\WatchWithMe\resources\js\bootstrap.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 32, 11, 46
"d:\WatchWithMe\resources\js\ssr.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\WatchWithMe\resources\views\app.blade.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\WatchWithMe\routes\api.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 10, 4, 20
"d:\WatchWithMe\routes\auth.php", "PHP", 0, 0, 0, 0, 43, 0, 0, 0, 0, 17, 60
"d:\WatchWithMe\routes\channels.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 10, 5, 21
"d:\WatchWithMe\routes\console.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 10, 4, 20
"d:\WatchWithMe\routes\web.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 11, 9, 47
"d:\WatchWithMe\server.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"d:\WatchWithMe\tailwind.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"d:\WatchWithMe\tests\CreatesApplication.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 3, 6, 22
"d:\WatchWithMe\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 0, 0, 0, 34, 0, 0, 0, 0, 12, 46
"d:\WatchWithMe\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 0, 0, 0, 50, 0, 0, 0, 0, 16, 66
"d:\WatchWithMe\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 0, 0, 0, 32, 0, 0, 0, 0, 13, 45
"d:\WatchWithMe\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 0, 0, 0, 50, 0, 0, 0, 0, 22, 72
"d:\WatchWithMe\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 0, 0, 0, 0, 41, 0, 0, 0, 0, 11, 52
"d:\WatchWithMe\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 0, 0, 0, 25, 0, 0, 0, 0, 8, 33
"d:\WatchWithMe\tests\Feature\ExampleTest.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 4, 5, 20
"d:\WatchWithMe\tests\Feature\ProfileTest.php", "PHP", 0, 0, 0, 0, 76, 0, 0, 0, 0, 24, 100
"d:\WatchWithMe\tests\TestCase.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"d:\WatchWithMe\tests\Unit\ExampleTest.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 3, 4, 17
"d:\WatchWithMe\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\WatchWithMe\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\WatchWithMe\vite.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 67, 10, 29, 14063, 1992, 1653, 5, 45, 1270, 978, 20112